student_id,name,department,age,exam_score,attendance_percent,assignment_score
1,Charlie Brown,Information Technology,23,81,67,66
2,Julia Brown,Mechanical,22,60,62,92
3,Bob Davis,Mechanical,23,60,60,73
4,Michael Davis,Information Technology,24,73,81,93
5,Laura Taylor,Data Science,22,98,73,74
6,David Anderson,Mechanical,22,67,95,77
7,Laura Davis,Computer Science,24,61,91,52
8,Eva Davis,Computer Science,20,56,63,71
9,Grace Taylor,Mechanical,23,86,90,97
10,Bob Garcia,Civil,22,68,75,92
11,David Anderson,Electronics,25,58,61,56
12,Rachel Brown,Computer Science,24,86,94,70
13,Oscar Martinez,Computer Science,21,87,62,65
14,Oscar Williams,Information Technology,20,75,66,50
15,Charlie Martinez,Electronics,24,98,97,73
16,Julia Taylor,Data Science,18,86,61,94
17,Michael Taylor,Electronics,22,76,80,71
18,Frank Davis,Computer Science,25,57,63,61
19,Helen Miller,Civil,23,89,60,69
20,Frank Garcia,Computer Science,18,61,93,94
21,Grace Davis,Data Science,23,79,89,86
22,Grace Brown,Civil,19,58,78,97
23,Helen Miller,Information Technology,19,69,80,58
24,Laura Brown,Information Technology,18,62,89,61
25,Grace Taylor,Mechanical,24,85,75,73
26,Steve Miller,Data Science,25,60,93,82
27,Ivan Davis,Information Technology,21,90,98,56
28,Eva Davis,Data Science,25,97,61,83
29,Steve Smith,Civil,22,96,66,69
30,Frank Williams,Computer Science,24,95,60,62
31,Kevin Williams,Civil,19,51,97,53
32,Charlie Miller,Mechanical,20,96,67,92
33,Michael Garcia,Information Technology,23,86,92,52
34,Tina Brown,Mechanical,20,84,97,62
35,Bob Garcia,Mechanical,19,98,82,54
36,Laura Martinez,Computer Science,22,78,63,62
37,Oscar Johnson,Electronics,20,76,80,51
38,Ivan Martinez,Mechanical,21,94,96,77
39,Bob Davis,Electronics,23,93,86,59
40,Quentin Williams,Data Science,23,72,69,55
41,Ivan Taylor,Civil,18,51,76,87
42,Quentin Garcia,Mechanical,19,59,62,86
43,Frank Anderson,Computer Science,20,93,83,54
44,Michael Smith,Mechanical,25,58,92,55
45,Paula Garcia,Information Technology,25,60,91,87
46,Eva Garcia,Information Technology,24,98,98,75
47,Frank Davis,Civil,19,52,85,96
48,Steve Miller,Civil,25,52,81,80
49,Frank Garcia,Mechanical,25,53,83,79
50,Grace Martinez,Data Science,21,87,98,93
51,Laura Williams,Electronics,23,68,89,97
52,Frank Davis,Computer Science,23,95,64,86
53,Paula Davis,Civil,22,97,98,53
54,Oscar Johnson,Civil,24,51,97,93
55,Quentin Johnson,Information Technology,23,57,90,73
56,Nina Anderson,Computer Science,19,70,87,55
57,Michael Smith,Electronics,19,81,74,74
58,Helen Smith,Data Science,23,93,99,52
59,Bob Garcia,Mechanical,20,62,97,80
60,Eva Davis,Information Technology,22,92,84,94
61,Laura Garcia,Data Science,24,86,66,100
62,Michael Davis,Civil,18,56,87,87
63,Helen Martinez,Electronics,24,74,93,83
64,Steve Garcia,Civil,19,61,63,92
65,Tina Taylor,Electronics,24,83,100,80
66,Helen Davis,Data Science,19,75,74,53
67,Alice Anderson,Civil,24,97,71,69
68,Rachel Brown,Information Technology,24,90,73,80
69,Helen Anderson,Mechanical,25,100,80,94
70,Alice Miller,Data Science,22,95,76,50
71,Eva Davis,Civil,19,95,64,70
72,Paula Miller,Computer Science,24,97,96,92
73,Nina Miller,Civil,18,98,85,66
74,Paula Taylor,Civil,25,53,83,66
75,Bob Johnson,Data Science,19,99,76,53
76,Eva Taylor,Computer Science,25,51,62,97
77,Nina Garcia,Mechanical,18,76,68,78
78,Quentin Garcia,Electronics,23,59,96,86
79,Steve Smith,Mechanical,21,70,91,68
80,Michael Garcia,Computer Science,18,60,82,94
81,Michael Davis,Civil,25,56,78,54
82,David Brown,Electronics,18,68,86,63
83,Rachel Taylor,Mechanical,19,90,61,96
84,Nina Smith,Civil,18,68,79,62
85,Charlie Johnson,Computer Science,19,93,71,63
86,Frank Smith,Civil,25,53,61,86
87,Frank Garcia,Computer Science,24,66,84,54
88,Alice Davis,Computer Science,21,65,72,77
89,Quentin Anderson,Computer Science,25,81,89,51
90,Nina Garcia,Data Science,20,90,62,66
91,Steve Anderson,Information Technology,23,74,66,67
92,Bob Williams,Data Science,23,92,88,70
93,Oscar Williams,Electronics,24,58,96,98
94,Quentin Anderson,Information Technology,20,57,77,84
95,Steve Davis,Electronics,25,86,74,67
96,Charlie Martinez,Electronics,25,97,91,77
97,Michael Martinez,Computer Science,20,97,95,95
98,Frank Smith,Information Technology,18,73,71,74
99,Rachel Taylor,Computer Science,22,57,80,85
100,Quentin Davis,Information Technology,22,100,78,90
101,Ivan Garcia,Electronics,23,85,75,77
102,Eva Brown,Information Technology,19,99,99,96
